2020-07-10/18:42:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-07-10/18:42:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-07-10/18:42:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-07-10/18:42:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-07-10/18:42:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-07-10/18:42:12		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-07-10/18:42:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-07-10/18:42:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-07-10/18:42:17		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-07-10/18:50:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-07-10/18:50:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-07-10/18:50:59		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-07-10/18:51:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-07-10/18:51:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-07-10/18:51:03		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-07-10/18:51:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-07-10/18:51:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-07-10/18:51:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-07-10/19:03:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-07-10/19:03:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-07-10/19:03:32		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-07-10/19:03:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-07-10/19:03:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-07-10/19:03:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-07-10/19:03:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-07-10/19:03:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-07-10/19:03:38		 wafer_29012020_050617.csv: File Transformed successfully!!
